Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,24,41,Maj-NL,Washington,144,635,580,92,149,35,5,19,60,37,1,125,14,1,3,5,31,3,0.257,0.315,0.433,0.748,682928
Wilyer Abreu,26,37,Maj-AL,Boston,116,422,378,53,92,17,0,22,69,40,5,104,0,1,3,8,6,3,0.243,0.314,0.463,0.777,677800
Maximo Acosta,22,55,Maj-NL,Miami,19,61,54,7,11,1,0,3,5,6,0,17,1,0,0,0,1,2,0.204,0.295,0.389,0.684,691185
Luisangel Acu\xc3\xb1a,23,42,Maj-NL,New York,95,193,175,30,41,7,0,0,8,13,0,37,2,2,1,6,16,1,0.234,0.293,0.274,0.567,682668
Ronald Acu\xc3\xb1a Jr.,27,41,Maj-NL,Atlanta,95,412,338,74,98,12,1,21,42,71,4,102,3,0,0,5,9,1,0.29,0.417,0.518,0.935,660670
Willy Adames,29,41,Maj-NL,San Francisco,159,686,591,94,133,22,2,30,87,80,2,179,5,0,9,9,12,4,0.225,0.318,0.421,0.74,642715
Jordyn Adams,25,90,Maj-AL,Baltimore,10,5,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,677941
Riley Adams,29,41,Maj-NL,Washington,83,286,263,29,49,8,0,8,24,18,0,110,5,0,0,6,1,0,0.186,0.252,0.308,0.56,656180
Jo Adell,26,41,Maj-AL,Los Angeles,152,573,526,63,124,18,1,37,98,33,0,151,10,0,1,10,5,1,0.236,0.293,0.485,0.778,666176
Nick Ahmed,35,191,Maj-AL,Texas,5,10,9,1,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0.0,0.1,0.0,0.1,605113
Ozzie Albies,28,47,Maj-NL,Atlanta,157,667,603,74,145,23,2,16,74,55,2,94,4,0,5,9,14,3,0.24,0.306,0.365,0.671,645277
Kevin Alc\xc3\xa1ntara,22,41,Maj-NL,Chicago,10,12,11,2,4,0,0,0,1,1,0,4,0,0,0,0,1,0,0.364,0.417,0.364,0.78,682634
Sergio Alc\xc3\xa1ntara,28,127,Maj-NL,San Francisco,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,642727
Blaze Alexander,26,42,Maj-NL,Arizona,74,266,230,31,53,12,1,7,28,22,0,86,10,3,1,5,4,6,0.23,0.323,0.383,0.706,677942
CJ Alexander,28,159,Maj-AL,Athletics,6,17,17,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0.176,0.176,0.176,0.353,680769
Tyler Alexander,30,147,Maj-AL,Chicago,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,641302
Jorge Alfaro,32,42,Maj-NL,Washington,14,39,39,3,10,2,0,0,3,0,0,14,0,0,0,0,1,0,0.256,0.256,0.308,0.564,595751
Greg Allen,32,85,Maj-AL,Baltimore,7,14,14,1,0,0,0,0,0,0,0,5,0,0,0,2,0,1,0.0,0.0,0.0,0.0,656185
Nick Allen,26,41,Maj-NL,Atlanta,135,416,371,32,82,11,0,0,22,31,0,99,3,8,3,8,8,7,0.221,0.284,0.251,0.535,669397
Pete Alonso,30,41,Maj-NL,New York,162,709,624,87,170,41,1,38,126,61,5,162,15,0,9,23,1,2,0.272,0.347,0.524,0.871,624413
Jose Altuve,35,42,Maj-AL,Houston,155,654,588,80,156,24,1,26,77,55,5,109,4,1,6,20,10,6,0.265,0.329,0.442,0.771,514888
Francisco Alvarez,23,41,Maj-NL,New York,76,277,246,32,63,12,1,11,32,27,0,73,4,0,0,6,0,0,0.256,0.339,0.447,0.787,682626
Nacho Alvarez Jr.,22,41,Maj-NL,Atlanta,58,208,188,18,44,12,0,2,15,12,0,49,5,2,1,1,0,0,0.234,0.296,0.33,0.626,805373
Yordan Alvarez,28,54,Maj-AL,Houston,48,199,165,17,45,8,0,6,27,28,5,33,0,0,6,1,1,1,0.273,0.367,0.43,0.797,670541
Adael Amador,22,87,Maj-NL,Colorado,41,128,113,5,20,7,0,1,10,11,0,27,1,3,0,2,1,1,0.177,0.256,0.265,0.521,691182
Jacob Amaya,26,91,Maj-AL,Chicago,36,73,66,7,7,1,0,0,8,3,0,16,0,1,3,1,2,0,0.106,0.139,0.121,0.26,676070
Miguel Amaya,26,87,Maj-NL,Chicago,28,103,96,14,27,9,0,4,25,4,0,22,1,1,1,0,0,0,0.281,0.314,0.5,0.814,665804
Tim Anderson,32,167,Maj-AL,Los Angeles,31,90,83,8,17,3,0,0,3,3,0,29,3,1,0,1,1,1,0.205,0.258,0.241,0.499,641313
Miguel Andujar,30,39,"Maj-AL,Maj-NL","Athletics,Cincinnati",95,346,325,37,102,17,1,10,44,18,1,50,1,0,2,8,1,0,0.314,0.35,0.465,0.814,609280
Roman Anthony,21,67,Maj-AL,Boston,71,303,257,48,75,18,1,8,32,40,0,84,5,0,1,2,4,1,0.292,0.396,0.463,0.859,701350
Jonathan Aranda,27,41,Maj-AL,Tampa Bay,106,422,370,56,117,22,0,14,59,41,3,107,8,0,3,9,0,2,0.316,0.393,0.489,0.883,666018
Orlando Arcia,30,45,Maj-NL,"Atlanta,Colorado",76,214,203,13,41,7,1,3,13,10,0,47,0,0,1,4,0,1,0.202,0.238,0.291,0.529,606115
Nolan Arenado,34,42,Maj-NL,St. Louis,106,436,401,48,95,18,1,12,52,28,4,49,3,0,4,10,3,0,0.237,0.289,0.377,0.666,571448
Gabriel Arias,25,37,Maj-AL,Cleveland,132,481,442,44,97,25,2,11,55,27,1,165,7,1,4,9,8,4,0.219,0.273,0.36,0.633,672356
Randy Arozarena,30,19,Maj-AL,Seattle,172,765,661,105,155,33,1,28,78,68,2,210,31,0,5,10,36,6,0.234,0.332,0.415,0.747,668227
